Mean Test Score,Standard Deviation,Parameters
-0.17589847548815363,0.019137428473057605,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [128, 64, 16]}"
-0.18107265143004592,0.04755398342450953,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [64, 64, 32]}"
-0.21654739499660286,0.02761489726023504,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [64, 32, 16]}"
-0.13295293656207763,0.0040937872436596495,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [256, 128, 64]}"
-0.16801021852512155,0.003812422920169936,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [256, 128, 32]}"
-0.16438734723725795,0.05200545544841968,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [128, 64, 32]}"
-0.1450626380549582,0.035036668983792894,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [128, 64, 16]}"
-0.1507430052321005,0.011447022801811466,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [64, 64, 32]}"
-0.25121620968666847,0.0950611726321992,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [64, 32, 16]}"
-0.9212946785233966,0.036261237127336365,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [256, 128, 64]}"
-0.9830202940609993,0.0002856838983950616,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [256, 128, 32]}"
-0.5243047841690684,0.3648483723798387,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [128, 64, 32]}"
-0.8655296289300642,0.07740317057301777,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [128, 64, 16]}"
-0.1246531160529786,0.0386307079927973,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [64, 64, 32]}"
-0.9239286836370032,0.19086021067839665,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [64, 32, 16]}"
-0.9316994569796129,0.05558352001754169,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [256, 128, 64]}"
-1.013663121703026,0.01980787753901525,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [256, 128, 32]}"
-1.0174191760656917,0.09431097379557435,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [128, 64, 32]}"
-0.960578140485011,0.006817287193322752,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [128, 64, 16]}"
-0.2568004278184748,0.09185718184599583,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [64, 64, 32]}"
-0.6179600513121044,0.17777979347153386,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [64, 32, 16]}"
-0.31280960110694167,0.08324286187360633,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'RMSprop', 'units': [256, 128, 64]}"
-0.9336528442312917,0.16099641467381876,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'RMSprop', 'units': [256, 128, 32]}"
-0.9954852431740171,0.052776016021949534,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'RMSprop', 'units': [128, 64, 32]}"
-0.6978775171482501,0.22471496746617117,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'RMSprop', 'units': [128, 64, 16]}"
-0.36838834578131346,0.014567324264502024,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'RMSprop', 'units': [64, 64, 32]}"
-0.6974379968998656,0.44131054113179685,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'RMSprop', 'units': [64, 32, 16]}"
-1.2338880967836432,0.5322269227252152,"{'batch_size': 256, 'learning_rate': 0.1, 'optimizer': 'Adam', 'units': [256, 128, 64]}"
-1.5822411595823946,0.8151781354873721,"{'batch_size': 256, 'learning_rate': 0.1, 'optimizer': 'Adam', 'units': [256, 128, 32]}"
-1.119270559541886,0.19433130543711835,"{'batch_size': 256, 'learning_rate': 0.1, 'optimizer': 'Adam', 'units': [128, 64, 32]}"
-0.7434036085918305,0.022896590829011965,"{'batch_size': 256, 'learning_rate': 0.1, 'optimizer': 'Adam', 'units': [128, 64, 16]}"
-0.7185092333093234,0.019265794938942093,"{'batch_size': 256, 'learning_rate': 0.1, 'optimizer': 'Adam', 'units': [64, 64, 32]}"
-0.8533826905061676,0.0982975087818807,"{'batch_size': 256, 'learning_rate': 0.1, 'optimizer': 'Adam', 'units': [64, 32, 16]}"
-2.2668967730929994,0.056300881317150164,"{'batch_size': 256, 'learning_rate': 0.1, 'optimizer': 'Nadam', 'units': [256, 128, 64]}"
-1.258485448986832,0.4985867493441139,"{'batch_size': 256, 'learning_rate': 0.1, 'optimizer': 'Nadam', 'units': [256, 128, 32]}"
-0.8854251918977991,0.10495712460014811,"{'batch_size': 256, 'learning_rate': 0.1, 'optimizer': 'Nadam', 'units': [128, 64, 32]}"
-1.545049558672556,0.5124572956911636,"{'batch_size': 256, 'learning_rate': 0.1, 'optimizer': 'Nadam', 'units': [128, 64, 16]}"
